Name,AccountNumber,Site,Type,Industry,AnnualRevenue,Rating,Phone,Fax,Website,TickerSymbol,Ownership,NumberOfEmployees
Account_6511_R,36129590,Site_H582,Partner,Healthcare,5606345.0,Cold,+1-0411231664,+1-8152313261,https://www.petlktua.com,UIX,Public,152.0
Account_3287_Q,20422159,Site_H679,Partner,Retail,2573754.0,Warm,+1-3735682042,+1-3905732261,https://www.tawtvzlt.com,XGD,Subsidiary,973.0
Account_4800_T,74899910,Site_X893,Partner,Technology,5078744.0,Hot,+1-3258795540,+1-8234188845,https://www.gwtprkeo.com,SQT,Public,817.0
Account_6846_N,05454292,Site_X278,Prospect,Retail,7315799.0,Hot,+1-1671275217,+1-1479008456,https://www.fmrullcj.com,DOX,Subsidiary,53.0
Account_7979_W,73730243,Site_C465,Customer,Retail,9687197.0,Cold,+1-9767063977,+1-7007250285,https://www.duzpaxob.com,ZDR,Private,763.0
Account_4966_D,18512134,Site_A206,Customer,Retail,4148958.0,Cold,+1-4549362560,+1-9948762443,https://www.igaysije.com,WPU,Private,417.0
Account_8615_D,66549957,Site_P276,Partner,Technology,5846244.0,Hot,+1-9273313812,+1-1824846900,https://www.ryschmme.com,XDE,Public,644.0
Account_7160_K,35215409,Site_L753,Partner,Finance,7966615.0,Hot,+1-6982127656,+1-0107963665,https://www.rtrokhqg.com,JDU,Subsidiary,164.0
Account_3350_Z,41049488,Site_L733,Prospect,Finance,4018493.0,Hot,+1-1109532539,+1-4973297383,https://www.tcdxjsty.com,INS,Public,888.0
Account_6904_B,44964868,Site_Y142,Prospect,Retail,7289801.0,Warm,+1-2367933452,+1-3708960649,https://www.yghglhpr.com,NFR,Private,706.0
Account_5931_Y,73156327,Site_U259,Prospect,Retail,3919405.0,Hot,+1-0239625379,+1-1753845085,https://www.kqsiaahk.com,PLD,Subsidiary,313.0
Account_1155_E,53074852,Site_K346,Partner,Technology,3907473.0,Warm,+1-2920651754,+1-8171302921,https://www.dwpvhbpe.com,DPO,Public,660.0
Account_6769_C,54762949,Site_T628,Prospect,Retail,9208631.0,Cold,+1-4683061990,+1-0791361888,https://www.vkbwcuvv.com,COX,Subsidiary,698.0
Account_7692_I,82803997,Site_R709,Prospect,Healthcare,9415091.0,Hot,+1-5530434219,+1-0035194574,https://www.evqdjrlq.com,HET,Subsidiary,858.0
Edge Communications,CD451796,,Customer - Direct,Electronics,139000000.0,Hot,(512) 757-6000,(512) 757-9000,http://edgecomm.com,EDGE,Public,1000.0
Burlington Textiles Corp of America,CD656092,,Customer - Direct,Apparel,350000000.0,Warm,(336) 222-7000,(336) 222-8000,www.burlington.com,BTXT,Public,9000.0
Pyramid Construction Inc.,CC213425,,Customer - Channel,Construction,950000000.0,,(014) 427-4427,(014) 427-4428,www.pyramid.com,PYR,Public,2680.0
Dickenson plc,CC634267,,Customer - Channel,Consulting,50000000.0,,(785) 241-6200,(785) 241-6201,dickenson-consulting.com,,Private,120.0
Grand Hotels & Resorts Ltd,CD439877,,Customer - Direct,Hospitality,500000000.0,Warm,(312) 596-1000,(312) 596-1500,www.grandhotels.com,GHTL,Public,5600.0
United Oil & Gas Corp.,CD355118,,Customer - Direct,Energy,5600000000.0,Hot,(212) 842-5500,(212) 842-5501,http://www.uos.com,UOS,Public,145000.0
Account_3915_P,5006660,Site_H741,Customer,Finance,8605962.0,Cold,+1-5029500393,+1-6156028330,https://www.zzobqxom.com,QAF,Private,172.0
Account_7465_P,27394484,Site_J714,Customer,Healthcare,5967898.0,Cold,+1-1661793146,+1-3939638822,https://www.gfnolgbt.com,FVM,Subsidiary,912.0
Account_9155_X,05899468,Site_K594,Customer,Healthcare,2485254.0,Warm,+1-5841441639,+1-7728165823,https://www.cvseimxq.com,YTS,Subsidiary,616.0
Account_3974_H,15040432,Site_R281,Customer,Healthcare,5183434.0,Hot,+1-6417189688,+1-6631302062,https://www.ecadcmge.com,CMC,Subsidiary,983.0
Account_2977_M,88570476,Site_V727,Partner,Technology,5657916.0,Cold,+1-3315646427,+1-7018147102,https://www.auoeygts.com,NSI,Public,368.0
Account_8159_T,47531596,Site_M676,Prospect,Healthcare,922424.0,Hot,+1-8601393577,+1-2187780532,https://www.nzdfrnjl.com,WPZ,Private,696.0
Account_3217_L,44232972,Site_W820,Prospect,Finance,4336441.0,Cold,+1-2420486815,+1-3424529969,https://www.scribwkx.com,NDC,Subsidiary,934.0
Account_9390_F,13513542,Site_E146,Partner,Technology,7046064.0,Warm,+1-1146041439,+1-3964664618,https://www.sbkpxmnu.com,XGH,Private,397.0
Account_5478_L,89166326,Site_G233,Customer,Healthcare,7912700.0,Cold,+1-6193789765,+1-9088869739,https://www.ffdvncbi.com,UKU,Public,345.0
Account_9418_Z,72552565,Site_C787,Partner,Retail,9404799.0,Cold,+1-5222328976,+1-0335893621,https://www.yovlyepb.com,ENV,Public,947.0
Account_3799_R,42579028,Site_C493,Partner,Finance,3218967.0,Warm,+1-0812834981,+1-8754616674,https://www.lznjrrfc.com,LFQ,Public,559.0
Account_8153_N,28102281,Site_M499,Partner,Healthcare,3381557.0,Hot,+1-3291987397,+1-8140672412,https://www.espmefaj.com,SWF,Public,311.0
Account_7412_X,34554422,Site_L252,Customer,Healthcare,5964588.0,Warm,+1-2893234311,+1-5478159624,https://www.aaonamhn.com,CTX,Subsidiary,418.0
Account_1991_H,6083168,Site_E924,Partner,Retail,5960362.0,Warm,+1-0888890012,+1-2119608801,https://www.fkxdvrii.com,EKG,Subsidiary,875.0
Account_6569_Y,24287515,Site_G354,Partner,Healthcare,7314486.0,Warm,+1-2327845028,+1-7576942536,https://www.mcvmkmvt.com,KXO,Subsidiary,846.0
Account_6588_Y,97089751,Site_W480,Customer,Retail,7903278.0,Cold,+1-6892093759,+1-0402629238,https://www.jbncqwnc.com,AJO,Subsidiary,165.0
Account_1416_D,73565459,Site_E646,Partner,Finance,8768758.0,Hot,+1-2838499739,+1-1978655938,https://www.yskpsabp.com,DFH,Public,213.0
Account_6954_Y,94345186,Site_D238,Partner,Healthcare,6895055.0,Cold,+1-2297054436,+1-7594571169,https://www.dtilboyw.com,XAU,Public,592.0
Account_7595_T,15936601,Site_V404,Customer,Healthcare,9999180.0,Warm,+1-2454309755,+1-0506672433,https://www.xtdpgddp.com,RAY,Public,221.0
Account_8418_J,83770041,Site_I534,Partner,Retail,519108.0,Cold,+1-3085848511,+1-5341988939,https://www.cvrplbdx.com,GZY,Public,212.0
Account_1434_A,79704761,Site_E915,Prospect,Technology,9808447.0,Cold,+1-2648824834,+1-4247598993,https://www.gbzfsqpe.com,JKR,Subsidiary,769.0
Account_7627_Z,28987302,Site_I182,Customer,Healthcare,2035388.0,Cold,+1-8985588691,+1-4957088029,https://www.crxosvim.com,BHB,Public,854.0
Account_6762_B,56396560,Site_X625,Partner,Finance,5373452.0,Warm,+1-8838618221,+1-9556971890,https://www.drxrdymd.com,YLG,Public,181.0
Account_7649_W,66874741,Site_S477,Partner,Healthcare,5015632.0,Warm,+1-3252433505,+1-9516433474,https://www.axoapdou.com,KEV,Private,353.0
Account_1947_F,67983217,Site_P965,Customer,Retail,9991363.0,Warm,+1-0504407583,+1-6276492480,https://www.yswjqcew.com,OJI,Subsidiary,583.0
