Name,AccountNumber,Site,Type,Industry,AnnualRevenue,Rating,Phone,Fax,Website,TickerSymbol,Ownership,NumberOfEmployees
Delta Ltd_020,ACC020,Main,Other,Manufacturing,8381266.0,Warm,+1-4746681092,+1-9023819788,www.deltaltd.com,DEL,Government,639.0
Global Industries_079,ACC079,Main,Prospect,Manufacturing,4595584.0,Hot,+1-9644331174,+1-4405044608,www.globalindustries.com,GLO,Other,291.0
Omega Systems_006,ACC006,HQ,Other,Transportation,1698123.0,Hot,+1-8163083949,+1-2303688640,www.omegasystems.com,OME,Private,366.0
Tech Inc_062,ACC062,Satellite,Partner,Retail,9003878.0,Hot,+1-6577469526,+1-5759305833,www.techinc.com,TEC,Other,723.0
Beta Inc,ACC002,HQ,Partner,Healthcare,2000000.0,Warm,+1-2345678901,+1-2345678902,www.beta.com,BTA,Private,200.0
TestAccount6,10000006,Site_G,Customer,Technology,3500000.0,Warm,+1-800-555-1006,+1-800-555-2006,https://testaccount6.com,SYM6,Private,80.0
Global Solutions_109,ACC109,Main,Competitor,Education,2468638.0,Warm,+1-9502023005,+1-1183691604,www.globalsolutions.com,GLO,Other,108.0
Elite Inc_054,ACC054,Regional,Partner,Healthcare,4835970.0,Warm,+1-6023907151,+1-3306602338,www.eliteinc.com,ELI,Private,848.0
Elite Group_175,ACC175,Satellite,Partner,Finance,2846433.0,Cold,+1-9126961296,+1-3553555024,www.elitegroup.com,ELI,Government,94.0
Smart Technologies_112,ACC112,Branch,Partner,Energy,1323789.0,Cold,+1-5361447480,+1-2368368483,www.smarttechnologies.com,SMA,Government,941.0
Smart Ltd,ACC016,Branch,Prospect,Manufacturing,4454062.0,Cold,+1-942-903-7953,+1-146-889-7054,www.smartltd.com,SMA,Private,215.0
Prime Solutions_094,ACC094,Branch,Prospect,Manufacturing,1460456.0,Warm,+1-5038526423,+1-2775804098,www.primesolutions.com,PRI,Government,616.0
Tech Solutions_024,ACC024,HQ,Partner,Finance,6097253.0,Cold,+1-6304137311,+1-3423796738,www.techsolutions.com,TEC,Other,529.0
Smart Solutions,ACC005,HQ,Partner,Manufacturing,3120421.0,Warm,+1-801-306-2271,+1-738-151-6434,www.smartsolutions.com,SMA,Subsidiary,132.0
